latitude;longitude;species
52.659482;143.1522636;dubrovnik
52.523213;143.2074065;dubrovnik
52.528797;143.2030865;dubrovnik
52.530203;143.2033634;dubrovnik
52.52313;143.2080215;dubrovnik
52.525316;143.206996;dubrovnik
52.521434;143.2073467;dubrovnik
52.521434;143.2073467;dubrovnik
52.891668;143.1268978;dubrovnik
53.597087;142.5673836;dubrovnik
50.604054;142.731782;dubrovnik
50.814453;142.674104;dubrovnik
50.894917;142.660114;dubrovnik
53.482074;142.67861;dubrovnik
53.409331;142.507357;dubrovnik
53.374884;142.420668;dubrovnik
53.372426;142.335696;dubrovnik
53.352092;142.348828;dubrovnik
53.354448;142.332005;dubrovnik
49.263308;143.133981;dubrovnik
