species;latitude;longitude
Abies holophylla;33.343556;126.376556
Abies holophylla;34.149602;126.541557
Abies holophylla;34.83096;128.000979
Abies holophylla;34.845742;127.846733
Abies holophylla;34.94875;128.712333
Abies holophylla;35.001274;127.31356
Abies holophylla;35.20418;127.41
Abies holophylla;35.204475;127.404301
Abies holophylla;35.21077;127.41366
Abies holophylla;35.5141;127.45549
Abies holophylla;35.5157;127.452699
Abies holophylla;35.516;129.052967
Abies holophylla;35.71429;127.724184
Abies holophylla;35.858021;127.98401
Abies holophylla;35.864487;127.771941
Abies holophylla;35.905178;127.431039
Abies holophylla;36.03;127.284
Abies holophylla;36.039809;127.84925
Abies holophylla;36.07;127.58
Abies holophylla;36.170556;127.780333
Abies holophylla;36.197583;127.443436
Abies holophylla;36.212;127.134
Abies holophylla;36.212;127.135
Abies holophylla;36.4752;129.06
Abies holophylla;36.55275;128.263722
Abies holophylla;36.664331;127.818536
Abies holophylla;36.7322;127.436972
Abies holophylla;36.737536;128.320772
Abies holophylla;36.7565;128.012833
Abies holophylla;36.777361;129.290056
Abies holophylla;36.78971;127.011007
Abies holophylla;36.805031;129.110675
Abies holophylla;36.820694;128.218306
Abies holophylla;36.830722;127.893444
Abies holophylla;36.842847;127.211228
Abies holophylla;36.927508;127.398656
Abies holophylla;36.961583;127.921
Abies holophylla;36.974056;129.172667
Abies holophylla;36.996358;129.047428
Abies holophylla;37.0115;128.845889
Abies holophylla;37.072263;127.694301
Abies holophylla;37.105556;129.137111
Abies holophylla;37.114361;128.369753
Abies holophylla;37.184489;128.065117
Abies holophylla;37.185556;127.856389
Abies holophylla;37.200186;126.983436
Abies holophylla;37.204889;128.719306
Abies holophylla;37.263297;128.976147
Abies holophylla;37.302;127.155
Abies holophylla;37.329555;129.043338
Abies holophylla;37.36087;128.076409
Abies holophylla;37.380556;128.526392
Abies holophylla;37.401117;128.294661
Abies holophylla;37.405;127.01
Abies holophylla;37.413333;127.343583
Abies holophylla;37.473523;128.677613
Abies holophylla;37.535106;128.541461
Abies holophylla;37.56692;126.97853
Abies holophylla;37.578;128.857806
Abies holophylla;37.586074;127.286458
Abies holophylla;37.586794;127.492581
Abies holophylla;37.588981;127.490892
Abies holophylla;37.666222;128.299806
Abies holophylla;37.672804;125.714229
Abies holophylla;37.689217;128.661319
Abies holophylla;37.689754;127.412301
Abies holophylla;37.752158;127.177042
Abies holophylla;37.752165;127.177091
Abies holophylla;37.763689;126.960844
Abies holophylla;37.832492;127.655891
Abies holophylla;37.843607;128.394436
Abies holophylla;37.935364;128.564589
Abies holophylla;38.04445;128.266975
Abies holophylla;38.057089;128.598045
Abies holophylla;38.077905;127.200986
Abies holophylla;38.175001;128.484614
Abies holophylla;38.188306;127.798028
Abies holophylla;38.295306;128.365944
Abies holophylla;38.309218;127.310873
Abies holophylla;38.312528;127.894306
Abies holophylla;38.588364;128.162125
Abies holophylla;38.674748;128.16365
Abies holophylla;39.147635;127.445827
Abies holophylla;39.147635;127.445827
Abies holophylla;39.217122;126.645767
Abies holophylla;40.001;126.1601
Abies holophylla;40.0186;126.3331
Abies holophylla;40.283606;125.566942
Abies holophylla;40.8574;125.188008
Abies holophylla;40.962789;126.924019
Abies holophylla;41.36611;127.03222
Abies holophylla;41.45194;127.44167
Abies holophylla;41.46083;126.68056
Abies holophylla;41.585661;129.605713
Abies holophylla;41.668364;127.712276
Abies holophylla;41.810028;129.311228
Abies holophylla;42.083333;129.4
Abies holophylla;42.133569;129.516792
Abies holophylla;42.78;128.51
Abies holophylla;43.0057;131.8484
Abies holophylla;43.052736;130.848263
Abies holophylla;43.0609;131.1328
Abies holophylla;43.086618;131.529694
Abies holophylla;43.11322;131.44777
Abies holophylla;43.13548;131.56859
Abies holophylla;43.195028;132.040343
Abies holophylla;43.21666;131.96666
Abies holophylla;43.224;132.11699
Abies holophylla;43.26135;132.191
Abies holophylla;43.26151;132.19256
Abies holophylla;43.305557;132.165186
Abies holophylla;43.309922;132.230978
Abies holophylla;43.341465;131.808985
Abies holophylla;43.347301;131.946667
Abies holophylla;43.351633;131.633633
Abies holophylla;43.514728;131.771906
Abies holophylla;43.583285;131.690123
Abies holophylla;43.601402;131.812434
Abies holophylla;43.615407;132.58411
Abies holophylla;43.629189;132.170173
Abies holophylla;43.653567;131.754146
Abies holophylla;43.657988;132.372466
Abies holophylla;43.71991;132.19233
Abies holophylla;43.842;126.545
Abies holophylla;43.861354;130.929128
Abies holophylla;43.86722;128.98944
Abies holophylla;44.0249;132.5109
Abies holophylla;37.80226902;124.6827753
Abies holophylla;43.305733;131.287467
Abies holophylla;43.403317;131.3204
Abies holophylla;43.502717;131.643833
Abies holophylla;42.901616;131.149001
Abies holophylla;42.874439;131.032988
Abies holophylla;43.038594;131.2351
Abies holophylla;43.551202;131.57396
Abies holophylla;43.351118;131.509947
Abies holophylla;43.489786;132.077524
Abies holophylla;43.486225;131.32842
Abies holophylla;43.550879;132.281688
Abies holophylla;41.393819;129.173598
Abies holophylla;42.350648;129.69407
Abies holophylla;42.892105;130.050285
Abies holophylla;42.563551;129.93408
Abies holophylla;41.868665;128.929582
Abies holophylla;41.117166;129.476986
Abies holophylla;41.014651;128.3364
Abies holophylla;40.594479;128.440104
Abies holophylla;39.571091;127.366107
Abies holophylla;39.493087;126.947554
Abies holophylla;38.692789;127.05953
Abies holophylla;38.774161;127.319983
Abies holophylla;38.475734;127.006988
Abies holophylla;38.915109;126.59485
Abies holophylla;39.499507;126.891067
Abies holophylla;39.890894;127.097189
Abies holophylla;40.060097;126.357712
Abies holophylla;40.295528;127.011849
Abies holophylla;41.127759;127.119956
Abies holophylla;41.170319;127.306273
Abies holophylla;40.7776;127.029369
Abies holophylla;40.923102;126.335485
Abies holophylla;41.352407;127.252117
Abies holophylla;41.021677;127.822612
Abies holophylla;40.457136;127.706277
Abies holophylla;42.007501;129.237228
